,VendorID,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
143,2,2.0,16.76,230,132,1,70.0,0.0,0.5,0.0,11.35,1.0,86.1,2.5,0.0,0.75
144,2,3.0,14.14,45,132,1,70.0,5.0,0.5,10.0,11.44,1.0,97.94,0.0,0.0,0.0
145,2,4.0,16.1,163,132,1,85.0,0.0,0.0,0.0,11.45,1.0,100.7,2.5,0.0,0.75
146,2,4.0,9.05,230,70,2,70.0,5.0,0.0,0.0,11.49,1.0,89.99,2.5,0.0,0.0
147,2,1.0,17.37,162,132,1,70.0,5.0,0.5,13.69,11.5,1.0,104.94,2.5,0.0,0.75
148,2,1.0,15.23,132,141,1,70.0,0.0,0.5,17.26,11.54,1.0,103.55,2.5,0.0,0.75
149,2,1.0,14.39,145,132,1,70.0,0.0,0.5,16.64,11.69,1.0,99.83,0.0,0.0,0.0
150,2,1.0,13.47,93,262,1,52.0,0.0,0.5,13.57,11.84,1.0,81.41,2.5,0.0,0.0
151,2,4.0,14.38,145,132,1,97.0,0.0,0.0,21.98,11.88,1.0,131.86,0.0,0.0,0.0
152,2,2.0,17.7,230,138,1,73.0,5.0,0.5,5.0,11.89,1.0,99.64,2.5,0.0,0.75
153,2,1.0,16.5,161,132,2,70.0,0.0,0.5,0.0,11.9,1.0,86.65,2.5,0.0,0.75
154,2,1.0,10.43,70,79,1,47.8,0.0,0.5,12.9,11.94,1.0,77.39,2.5,0.0,0.75
155,2,3.0,9.57,161,138,1,71.3,5.0,0.0,3.0,11.95,1.0,93.0,0.0,0.0,0.75
156,2,1.0,12.1,130,140,1,70.0,0.0,0.5,10.0,11.99,1.0,96.74,2.5,0.0,0.75
157,2,1.0,9.55,134,132,1,70.0,0.0,0.5,16.7,12.0,1.0,100.2,0.0,0.0,0.0
158,1,1.0,11.0,161,138,1,42.9,8.25,0.5,12.95,12.04,1.0,77.64,2.5,0.0,0.75
159,2,2.0,13.02,215,163,1,70.0,0.0,0.5,17.38,12.13,1.0,104.26,2.5,0.0,0.75
160,1,1.0,22.7,117,220,1,72.5,0.0,0.5,0.0,12.14,0.0,85.14,0.0,0.0,0.0
161,2,1.0,13.81,10,79,1,70.0,0.0,0.5,21.75,12.23,1.0,108.73,2.5,0.0,0.75
162,2,1.0,21.55,48,132,4,70.0,0.0,0.5,0.0,12.24,1.0,86.99,2.5,0.0,0.75
163,2,1.0,16.02,132,161,1,70.0,0.0,0.5,17.4,12.25,1.0,104.4,2.5,0.0,0.75
164,2,1.0,12.94,230,138,1,61.8,5.0,0.5,0.0,12.28,1.0,83.83,2.5,0.0,0.75
165,2,1.0,17.78,132,239,1,70.0,0.0,0.5,17.26,12.32,1.0,103.58,2.5,0.0,0.0
166,2,1.0,11.34,157,132,1,89.0,0.0,0.0,20.47,12.34,1.0,122.81,0.0,0.0,0.0
167,2,4.0,16.88,132,230,1,70.0,0.0,0.5,17.43,12.38,1.0,104.56,2.5,0.0,0.75
168,2,1.0,11.69,230,138,1,53.4,7.5,0.5,0.0,12.45,1.0,78.1,2.5,0.0,0.75
169,2,2.0,0.57,216,216,1,87.0,0.0,0.0,0.0,12.5,1.0,100.5,0.0,0.0,0.0
170,2,1.0,14.82,10,163,1,70.0,0.0,0.5,15.0,12.54,1.0,102.29,2.5,0.0,0.75
171,2,3.0,0.0,265,265,1,74.0,0.0,0.0,15.0,12.65,1.0,102.65,0.0,0.0,0.0
172,2,1.0,15.64,163,132,3,93.77,0.0,0.0,0.0,12.69,1.0,110.71,2.5,0.0,0.75
173,2,4.0,0.04,134,197,1,85.0,0.0,0.0,10.0,12.75,1.0,108.75,0.0,0.0,0.0
174,2,1.0,9.85,164,138,1,41.5,5.0,0.5,12.84,12.94,1.0,77.03,2.5,0.0,0.75
175,2,3.0,0.0,230,230,1,85.0,0.0,0.0,0.0,13.0,1.0,102.25,2.5,0.0,0.75
176,2,1.0,75.19,132,265,1,250.0,0.0,0.0,79.21,13.04,1.0,343.25,0.0,0.0,0.0
177,2,1.0,9.02,93,100,4,60.8,2.5,0.0,0.0,13.11,1.0,78.16,0.0,0.0,0.75
178,2,1.0,15.43,230,31,4,63.9,0.0,0.5,0.0,13.18,1.0,81.83,2.5,0.0,0.75
179,2,1.0,10.57,70,142,1,47.1,0.0,0.5,12.86,13.19,1.0,77.15,2.5,0.0,0.0
180,2,1.0,15.46,145,132,1,70.0,0.0,0.5,21.19,13.25,1.0,105.94,0.0,0.0,0.0
181,1,1.0,4.4,90,265,1,28.2,3.25,0.5,3.67,13.38,1.0,50.0,2.5,0.0,0.75
182,2,1.0,16.89,230,132,1,70.0,5.0,0.5,10.0,13.4,1.0,103.15,2.5,0.0,0.75
183,2,1.0,14.58,130,263,1,70.0,0.0,0.5,17.49,13.43,1.0,104.92,2.5,0.0,0.0
184,2,1.0,9.92,70,143,2,40.1,1.0,0.5,0.0,13.44,1.0,58.54,2.5,0.0,0.0
185,2,1.0,0.01,161,161,1,85.0,0.0,0.0,20.55,13.49,1.0,123.29,2.5,0.0,0.75
186,2,2.0,7.71,70,116,1,32.4,0.0,0.5,9.48,13.5,1.0,56.88,0.0,0.0,0.0
187,2,4.0,14.35,10,74,1,70.0,0.0,0.5,21.26,13.54,1.0,106.3,0.0,0.0,0.0
188,2,1.0,8.27,70,162,2,33.8,1.0,0.5,0.0,13.68,1.0,53.23,2.5,0.0,0.75
189,2,1.0,9.07,264,244,3,40.8,0.0,0.5,0.0,13.69,1.0,55.99,0.0,0.0,0.0
190,2,2.0,6.33,56,233,1,45.0,0.0,0.0,0.0,13.8,1.0,63.05,2.5,0.0,0.75
191,2,1.0,14.34,66,172,2,0.01,0.0,0.0,0.0,13.88,1.0,14.89,0.0,0.0,0.0
192,2,1.0,4.22,79,112,1,22.6,1.0,0.5,8.3,13.89,1.0,49.79,2.5,0.0,0.0
193,2,1.0,10.23,170,138,1,47.8,5.0,0.5,14.3,13.93,1.0,85.78,2.5,0.0,0.75
194,2,1.0,10.94,70,230,1,52.7,0.0,0.5,14.28,13.94,1.0,85.67,2.5,0.0,0.75
195,2,2.0,4.82,48,74,2,26.8,2.5,0.5,0.0,13.99,1.0,48.04,2.5,0.0,0.75
196,2,1.0,2.47,170,262,1,70.0,0.0,0.5,4.0,14.0,1.0,92.75,2.5,0.0,0.75
197,2,3.0,20.59,186,251,1,89.1,0.0,0.5,10.0,14.01,1.0,117.86,2.5,0.0,0.75
198,2,1.0,4.37,48,265,1,41.2,1.0,0.0,11.6,14.06,1.0,69.61,0.0,0.0,0.75
199,2,1.0,1.35,42,152,1,70.0,0.0,0.5,15.4,14.08,1.0,100.98,0.0,0.0,0.0
200,1,1.0,17.7,162,1,1,91.6,0.75,0.0,32.25,14.14,1.0,139.74,0.0,0.0,0.75
201,2,2.0,16.77,132,161,1,70.0,0.0,0.5,17.79,14.19,1.0,106.73,2.5,0.0,0.75
202,2,3.0,19.29,132,238,1,70.0,5.0,0.5,18.66,14.32,1.0,111.98,2.5,0.0,0.0
203,2,1.0,16.68,230,132,1,70.0,0.0,0.5,5.0,14.44,1.0,94.19,2.5,0.0,0.75
204,2,1.0,17.39,230,132,1,85.0,0.0,0.0,20.75,14.49,1.0,124.49,2.5,0.0,0.75
205,2,1.0,0.0,161,161,1,87.0,0.0,0.0,21.15,14.5,1.0,126.9,2.5,0.0,0.75
206,2,1.0,18.66,132,229,1,70.0,5.0,0.5,18.86,14.55,1.0,113.16,2.5,0.0,0.75
207,2,2.0,0.58,74,42,1,70.0,0.0,0.5,17.22,14.59,1.0,103.31,0.0,0.0,0.0
208,2,1.0,16.36,142,132,3,90.0,0.0,0.0,0.0,14.69,1.0,108.94,2.5,0.0,0.75
209,2,1.0,10.43,232,265,1,70.2,1.0,0.0,0.0,14.75,1.0,87.7,0.0,0.0,0.75
210,2,4.0,17.07,230,1,2,85.3,1.0,0.0,0.0,14.76,1.0,102.81,0.0,0.0,0.75
211,2,4.0,3.58,197,132,4,95.0,0.0,0.0,0.0,14.78,1.0,110.78,0.0,0.0,0.0
212,2,1.0,0.0,143,143,1,70.0,0.0,0.5,17.93,14.89,1.0,107.57,2.5,0.0,0.75
